lc116,codigo,descricao,aliquota,base_legal
10.06,100601,Agenciamento marítimo.,5%,Portaria F/SUBTF/CIS N° 256/2018
10.07,100701,Agenciamento de notícias.,5%,Portaria F/SUBTF/CIS N° 256/2018
10.08,100802,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.",5%,Portaria F/SUBTF/CIS N° 256/2018
10.09,100904,"Representação de qualquer natureza, inclusive comercial.",2%,Portaria F/SUBTF/CIS N° 256/2018
10.10,101003,Distribuição de bens de terceiros.,5%,Portaria F/SUBTF/CIS N° 256/2018
11.01,110103,"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.",5%,Portaria F/SUBTF/CIS N° 256/2018
11.02,110203,"Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.",5%,Portaria F/SUBTF/CIS N° 256/2018
11.03,110301,"Escolta, inclusive de veículos e cargas.",5%,Portaria F/SUBTF/CIS N° 256/2018
11.04,110403,"Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.",5%,Portaria F/SUBTF/CIS N° 256/2018
12.01,120101,Espetáculos teatrais.,2%,Portaria F/SUBTF/CIS N° 256/2018
12.02,120201,Exibições cinematográficas.,2%,Portaria F/SUBTF/CIS N° 256/2018
12.03,120301,Espetáculos circenses.,5%,Portaria F/SUBTF/CIS N° 256/2018
12.04,120401,Programas de auditório.,5%,Portaria F/SUBTF/CIS N° 256/2018
12.05,120502,"Parques de diversões, centros de lazer e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
12.06,120604,"Boates, taxi-dancing e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
14.11,141102,Tapeçaria e reforma de estofamentos em geral.,5%,Portaria F/SUBTF/CIS N° 256/2018
12.07,120709,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.",2%,Portaria F/SUBTF/CIS N° 256/2018
12.09,120903,"Bilhares, boliches e diversões eletrônicas ou não.",2%,Portaria F/SUBTF/CIS N° 256/2018
12.10,121001,Corridas e competições de animais.,5%,Portaria F/SUBTF/CIS N° 256/2018
12.11,121101,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.",2%,Portaria F/SUBTF/CIS N° 256/2018
12.12,121201,Execução de música.,5%,Portaria F/SUBTF/CIS N° 256/2018
12.13,121312,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
12.14,121401,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.",5%,Portaria F/SUBTF/CIS N° 256/2018
12.15,121502,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
12.16,121615,"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.",3%,Portaria F/SUBTF/CIS N° 256/2018
12.17,121704,"Recreação e animação, inclusive em festas e eventos de qualquer natureza.",5%,Portaria F/SUBTF/CIS N° 256/2018
13.02,130208,"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
13.03,130310,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
13.04,130404,"Reprografia, microfilmagem e digitalização.",5%,Portaria F/SUBTF/CIS N° 256/2018
14.12,141201,Funilaria e lanternagem.,5%,Portaria F/SUBTF/CIS N° 256/2018
13.05,130515,"Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.  (Redação dada pela Lei Complementar nº 157, de 2016)",2%,Portaria F/SUBTF/CIS N° 256/2018
14.01,140166,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).",5%,Portaria F/SUBTF/CIS N° 256/2018
14.02,140202,Assistência Técnica.,5%,Portaria F/SUBTF/CIS N° 256/2018
14.03,140301,"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).",5%,Portaria F/SUBTF/CIS N° 256/2018
14.04,140403,Recauchutagem ou regeneração de pneus.,5%,Portaria F/SUBTF/CIS N° 256/2018
25.05,250501,Cessão de uso de espaços em cemitérios para sepultamento,5%,Portaria F/SUBTF/CIS N° 256/2018
14.05,140531,"Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer.",5%,Portaria F/SUBTF/CIS N° 256/2018
14.06,140615,"Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.",5%,Portaria F/SUBTF/CIS N° 256/2018
14.07,140701,Colocação de molduras e congêneres.,5%,Portaria F/SUBTF/CIS N° 256/2018
14.08,140804,"Encadernação, gravação e douração de livros, revistas e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
14.09,140902,"Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.",5%,Portaria F/SUBTF/CIS N° 256/2018
14.13,141302,Carpintaria e serralheria.,5%,Portaria F/SUBTF/CIS N° 256/2018
14.14,141401,"Guincho intramunicipal, guindaste e içamento.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.01,150105,"Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.02,150201,"Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.03,150302,"Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.04,150401,"Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.05,150502,"Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem FundosCCF ou em quaisquer outros bancos cadastrais.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.06,150609,"Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.07,150703,"Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro Banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.08,150811,"Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.",2%,Portaria F/SUBTF/CIS N° 256/2018
15.09,150902,"Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).",2%,Portaria F/SUBTF/CIS N° 256/2018
15.10,151003,"Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.11,151106,"Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.12,151204,"Custódia em geral, inclusive de títulos e valores mobiliários.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.13,151307,"Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio; emissão de registro de exportação ou de crédito; cobrança ou depósito no exterior; emissão, fornecimento e cancelamento de cheques de viagem; fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas; envio e recebimento de mensagens em geral relacionadas a operações de câmbio.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.14,151406,"Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.15,151503,"Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.16,151607,"Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral.",5%,Portaria F/SUBTF/CIS N° 256/2018
15.17,151706,"Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão.",5%,Portaria F/SUBTF/CIS N° 256/2018
